epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,13004.6,1.51566,1.05228,0.90412,0.42039,0.33054,0.32366,0.18487,1.47088,1.0537,0.90333,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,13151.9,1.50891,1.04957,0.9037,0.43084,0.32828,0.32299,0.1843,1.4712,1.05507,0.90255,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,13297,1.52152,1.05607,0.90162,0.43145,0.32815,0.3242,0.18482,1.46972,1.05277,0.90305,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,13439.8,1.50744,1.04137,0.90136,0.43126,0.3277,0.3242,0.18507,1.46932,1.05134,0.90273,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,155.392,1.51144,1.04427,0.90184,0.43477,0.32642,0.32495,0.18576,1.46829,1.052,0.90248,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,296.283,1.4995,1.03789,0.90162,0.42702,0.32866,0.32477,0.18601,1.46864,1.05138,0.90227,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,434.622,1.50087,1.03655,0.90166,0.42822,0.32634,0.32391,0.18578,1.46863,1.05221,0.90217,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,815.744,1.46129,1.01269,0.90431,0.4221,0.32875,0.32433,0.18519,1.47251,1.05391,0.90298,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,941.825,1.45357,1.00086,0.90238,0.42713,0.32396,0.32489,0.18509,1.47398,1.05168,0.90396,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,1066.62,1.44254,0.99194,0.90218,0.43112,0.32405,0.3239,0.18502,1.47509,1.05166,0.90371,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,1192.63,1.44471,0.99096,0.90096,0.42943,0.32442,0.32416,0.18521,1.47399,1.05278,0.90379,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,1326.41,1.43986,0.98905,0.90127,0.43212,0.32368,0.32399,0.18517,1.47168,1.05255,0.90365,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,1451,1.4348,0.98292,0.90078,0.4338,0.32357,0.32406,0.18467,1.47359,1.05249,0.904,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,1575.29,1.43507,0.98312,0.90035,0.4323,0.32375,0.32464,0.18497,1.47357,1.05315,0.90388,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,1700.25,1.44088,0.98433,0.90001,0.43361,0.32312,0.32444,0.185,1.47134,1.05337,0.90317,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,1823.9,1.43387,0.97632,0.89889,0.43772,0.32253,0.32395,0.18506,1.47206,1.05377,0.90297,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,1948.43,1.42813,0.97312,0.89847,0.44256,0.32339,0.32445,0.18543,1.47233,1.05335,0.90311,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
